"five unit Colonial courtyard building (1935) on Durant Drive in Beverly Hills, targeted for demolition",Durant Drive is related to Beverly Hills,GS
"Mrs. Lillian M. Rose house (1934), a Monterey architecture style house at 842 South Citrus Avenue in Mid-City.",842 South Citrus Avenue is related to Mid-City,GS
"Patriarchs and Prophets (book, 1890), describing Biblical History from creation to Israel's King David.",Israel is related to King David,GS
"Bol, Peter en  Henriëtte Verburgh (2005) Kees Bol. Kees Bol Foundation.",Bol is related to 2005,MN
Well Met (1973) for string orchestra,string orchestra is related to 1973,BN
O Wall (1976) for wind quintet,wind quintet is related to 1976,BN
"Quatuor VII (Afterthoughts) (2018) for trumpet, violin, viola and cello",trumpet is related to 2018,BN
"L'oeil égaré dans les plis de l'obéissance au vent, cantate radiophonique (1961) for soprano, contralto, baritone, mixed choir and orchestra",soprano is related to 1961,BN
"Dans la chaleur vacante, cantate radiophonique (1963) for choir and orchestra",choir is related to 1963,BN
"D. Henahan: 'Betsy Jolas Winning Recognition in the USA', The New York Times (30 August 1976)",Betsy Jolas Winning Recognition is related to USA,MS
"B. Jolas: Molto espressivo (Paris, 1999) [collected writings]",Molto espressivo is related to 1999,GN
"V. Perlis: 'Recordings in Review: Betsy Jolas', The Yale Review (1995), 179–185",V. Perlis is related to 1995,MN
"'Lord Derwentwater', collected by Francis James Child and published as Child Ballad 208 in English and Scottish Popular Ballads (1882-98).",Lord Derwentwater is related to Francis James Child,GS
"Playground with Steve Kuhn (ECM, 1980) – recorded in 1979",Playground is related to Steve Kuhn,GS
"One for Junior with Mark Murphy (Muse, 1993)",Mark Murphy is related to 1993,MN
"Heart Strings (Muse, 1994)",Heart Strings is related to 1994,GS
"Jazz Child with Steve Kuhn (HighNote, 1999)",Jazz Child is related to Steve Kuhn,GS
"Jazz Child with Steve Kuhn (HighNote, 1999)",Steve Kuhn is related to 1999,MN
"The Very Thought of Two with Harvie Swartz (MA, 2000)",Harvie Swartz is related to 2000,MN
"Little Song with Steve Kuhn (HighNote, 2003)",Little Song is related to Steve Kuhn,GS
"Little Song with Steve Kuhn (HighNote, 2003)",Steve Kuhn is related to 2003,MN
"Celebration with Cameron Brown (HighNote, 2005)",Celebration is related to Cameron Brown,GS
"Celebration with Cameron Brown (HighNote, 2005)",Cameron Brown is related to 2005,MN
"Winter Sunshine (Justin Time, 2008)",Winter Sunshine is related to 2008,GS
"Theatre (ECM, 1983)",Theatre is related to 1983,GS
"Broad Strokes (Knitting Factory, 2000)",Broad Strokes is related to 2000,GS
"1831: Four female Greek figures. Acroteria in the Altes Museum, Berlin",Acroteria is related to Altes Museum,GS
1840–1850: Statue of Johann Joachim Winckelmann in Stendal (Bronze); also as a marble statue in the National Gallery.,Johann Joachim Winckelmann is related to Bronze,BN
"Dayton O'Brien formerly with the University of Memphis, O'Brien was drafted by the Columbus Crew in 2006. O'Brien signed with the Memphis Mojo for the 2006/2007 season.",Dayton O'Brien is related to Columbus Crew,GN
Everson Maciel of the Western Mass Pioneers signed with the Massachusetts Twisters for the 2006/2007 season after good season in the USL Second Division earned Maciel a spot on the USL 2 All League Team.,Everson Maciel is related to Massachusetts Twisters,GN
Michael Todd of the New York Surf was selected by the Kansas City Wizards in the first round of the 2007 MLS Supplemental Draft.,Michael Todd is related to Kansas City Wizards,GN
"Curtis, Bill (1986), Fleetwood: a Town is Born, Terence Dalton Limited.",Curtis is related to 1986,MN
1957 Alfred Hitchcock Presents (TV series) as Clarence,Alfred Hitchcock is related to Clarence,BN
1971 See the Man Run (TV movie) as Ben Taylor,1971 is related to Ben Taylor,BS
